H	Tau
T	
0.09063526321	0.230224
0.09064430504	0.230106
0.09057197043	0.22994
0.09058101226	0.229962
0.09057197043	0.230018
0.09061717956	0.230043
0.09060813773	0.230087
0.09059909591	0.229988
0.09072568147	0.229823
0.09043634304	0.229985
0.09046346852	0.230235
0.09070759782	0.230205
0.09054484495	0.230122
0.09048155217	0.230184
0.09071663964	0.230273
0.09293188697	0.230082
0.09591568948	0.230064
0.1013859941	0.230112
0.1076971885	0.230135
0.1129052801	0.230086
0.1172815237	0.230114
0.1245240261	0.230147
0.1262962239	0.23013
0.1369474945	0.230213
0.1420561259	0.230306
0.1460797383	0.23037
0.1503746054	0.230375
0.1585122483	0.23046
0.1632320812	0.230536
0.1665865984	0.230498
0.1680875414	0.23044
0.1755470473	0.230367
0.1809178916	0.230562
0.1809721425	0.23081
0.180945017	0.230521
0.1808726824	0.230368
0.1810083098	0.230442
0.1810354353	0.230431
0.1810354353	0.230351
0.1808726824	0.230449
0.180845557	0.230473
0.180945017	0.230439
0.1809088497	0.23043
0.1809088497	0.230467
0.1809269334	0.230442
0.1809088497	0.230364
0.1809269334	0.230336
0.1809178916	0.23037
0.1809088497	0.23038
0.1808998079	0.230419
0.1809088497	0.230546
0.1809178916	0.230581
0.1809088497	0.230461
0.1809088497	0.230421
0.1809269334	0.23041
0.1809178916	0.230464
0.1809088497	0.230469
0.1808726824	0.230399
0.1808817243	0.230455
0.1809269334	0.230429
0.180945017	0.23035
0.1809269334	0.230465
0.1808907661	0.230477
0.1808998079	0.230424
0.1808998079	0.230342
0.1809178916	0.230326
0.1809088497	0.230345
0.1809178916	0.230245
0.1809178916	0.23015
0.1809269334	0.230253
0.1809178916	0.230438
0.1808907661	0.230429
0.1808636406	0.230368
0.1808907661	0.230365
0.1808907661	0.230376
0.1809088497	0.230436
0.1809088497	0.23038
0.1809178916	0.230327
0.1809269334	0.230464
0.1809269334	0.230487
0.1808907661	0.230452
0.1809088497	0.230374
0.1809088497	0.230355
0.1808998079	0.230151
0.1808817243	0.230067
0.1808998079	0.230192
0.1808817243	0.230286
0.1808545988	0.230227
0.1808545988	0.230279
0.1808636406	0.230298
0.1808817243	0.23036
0.1808998079	0.230482
0.1808907661	0.230618
0.1809088497	0.230631
0.1809178916	0.230564
0.1809088497	0.230562
0.1809088497	0.230563
0.1808998079	0.230526
0.1808907661	0.230481
0.1808907661	0.230577
0.1808998079	0.230661
0.1809088497	0.230603
0.1809269334	0.230481
0.1808998079	0.230548
0.1808998079	0.230558
0.1809178916	0.23049
0.1809178916	0.230389
0.1809269334	0.230356
0.180945017	0.230312
0.1809178916	0.230336
0.1809178916	0.230439
0.183738941	0.230487
0.1910809031	0.230487
0.2074285229	0.230535
0.2179170399	0.23065
0.2260546823	0.230664
0.2357656022	0.230634
0.2500968943	0.230681
0.2589036314	0.23087
0.2684789235	0.230986
0.2820326182	0.231116
0.29314502	0.2312
0.3071236799	0.23132
0.3166266368	0.23144
0.3249089473	0.231588
0.3340592728	0.231706
0.34178099	0.231815
0.3498191709	0.231938
0.3570526295	0.232146
0.3728486943	0.232496
0.3825596121	0.2328
0.3925146588	0.232994
0.4058332633	0.233311
0.4172530847	0.233469
0.4251194699	0.233539
0.4335012388	0.233626
0.4488452102	0.23387
0.4599937759	0.234036
0.4665581381	0.234116
0.4732671694	0.234121
0.4823903667	0.234177
0.4910524309	0.234327
0.5040184015	0.234647
0.514705833	0.234738
0.5225360491	0.23495
0.53854007	0.235398
0.5468223766	0.235612
0.5616690437	0.235936
0.5741105864	0.236127
0.5776730629	0.236294
0.5902863996	0.236395
0.6024476449	0.236582
0.6164624623	0.236802
0.6222221001	0.236866
0.6331626989	0.236966
0.6454595699	0.237212
0.6579011094	0.237415
0.6733806986	0.237768
0.6881911927	0.238183
0.7019980445	0.238671
